,"
	",Symbol,Long/Short,Entry Date,Entry Price,Exit Price,Exit Date,Profit%,"
"
0,"
	",CVNA,Long,06/29/2022,$22.30,$26.30,07/05/2022,17.94%,"
"
1,"
	",SE,Long,06/29/2022,$68.85,$76.20,07/05/2022,10.68%,"
"
2,"
	",ASML,Short,05/20/2020,$455.38*,$446.25,07/01/2022,2.00%,"
"
3,"
	",SCO,Long,06/29/2022,$20.20,$23.05,06/30/2022,14.11%,"
"
4,"
	",QCOM,Long,06/16/2022,$122.25,$136.25,06/28/2022,11.45%,"
"
5,"
	",UWM,Long,06/16/2022,$29.25,$32.15,06/24/2022,9.92%,"
"
6,"
	",STNE,Long,06/14/2022,$8.05,$9.15,06/24/2022,13.67%,"
"
7,"
	",SNOW,Long,05/10/2022,$134.97*,$148.67,06/24/2022,10.15%,"
"
8,"
	",ZM,Long,04/11/2022,$104.70*,$121.70,06/24/2022,16.24%,"
"
9,"
	",SHOP,Long,06/14/2022,$305.00*,$362.50,06/23/2022,18.69%,"
"
10,"
	",CVNA,Long,06/07/2022,$22.27,$27.07,06/21/2022,21.55%,"
"
11,"
	",SCO,Long,06/02/2022,$19.22*,$21.72,06/17/2022,13.01%,"
"
12,"
	",CVX,Short,03/02/2022,$162.15,$145.95,06/17/2022,9.99%,"
"
13,"
	",UNG,Short,05/16/2022,$29.66*,$24.95,06/14/2022,15.88%,"
"
14,"
	",MPC,Short,06/09/2022,$113.15,$102.45,06/13/2022,9.46%,"
"
15,"
	",SE,Long,04/22/2022,$75.15,$87.15,06/07/2022,15.97%,"
"
16,"
	",AMZN,Long,05/09/2022,"$2,218","$2,433",05/31/2022,9.69%,"
"
17,"
	",WMT,Long,05/18/2022,$119.49,$129.30,05/31/2022,8.21%,"
"
18,"
	",MSFT,Long,05/12/2022,$257.70,$273.60,05/31/2022,6.17%,"
"
19,"
	",MARA,Long,05/20/2022,$9.28*,$11.16,05/31/2022,20.26%,"
"
20,"
	",STNE,Long,04/25/2022,$8.87,$10.31,05/27/2022,16.24%,"
"
21,"
	",SMH,Long,05/12/2022,$216.00,$242.10,05/27/2022,12.08%,"
"
22,"
	",QLD,Long,05/12/2022,$43.81,$49.81,05/27/2022,13.70%,"
"
23,"
	",NET,Long,05/24/2022,$50.10,$56.05,05/26/2022,11.88%,"
"
24,"
	",ROKU,Long,05/24/2022,$75.55,$87.75,05/26/2022,16.15%,"
"
25,"
	",TGT,Long,05/24/2022,$145.75,$162.33,05/26/2022,11.38%,"
"
26,"
	",IWM,Long,05/12/2022,$169.75,$183.41,05/26/2022,8.05%,"
"
27,"
	",BIDU,Long,04/20/2022,$120.10,$135.10,05/26/2022,12.49%,"
"
28,"
	",CVNA,Long,05/24/2022,$25.80,$31.20,05/25/2022,20.93%,"
"
29,"
	",VZ,Long,04/29/2022,$46.85,$50.02,05/24/2022,6.77%,"
"
30,"
	",SOFI,Long,04/13/2022,$6.94,$7.64,05/19/2022,10.09%,"
"
31,"
	",NVDA,Long,05/12/2022,$156.80,$175.10,05/13/2022,11.67%,"
"
32,"
	",AAPL,Short,04/14/2020,$133.42,$139.42,05/12/2022,-4.49%,"
"
33,"
	",ARKK,Long,05/06/2022,$39.25*,$43.25,05/13/2022,10.19%,"
"
34,"
	",DKNG,Long,05/09/2022,$11.40*,$12.65,05/13/2022,10.97%,"
"
35,"
	",SHOP,Long,05/09/2022,$350.25,$401.25,05/13/2022,14.56%,"
"
36,"
	",MSTR,Long,05/12/2022,$158.00,$206.00,05/13/2022,30.38%,"
"
37,"
	",AFRM,Long,05/09/2022,$19.22*,$25.12,05/13/2022,30.70%,"
"
38,"
	",MSTR,Long,05/12/2022,$154.01,$202.51,05/12/2022,31.49%,"
"
39,"
	",ROKU,Long,05/10/2022,$78.65*,$90.15,05/12/2022,14.62%,"
"
40,"
	",CVNA,Long,05/10/2022,$34.55*,$43.05,05/12/2022,24.60%,"
"
41,"
	",RBLX,Long,04/20/2022,$29.00*,$31.05,05/12/2022,7.07%,"
"
42,"
	",UNG,Short,04/05/2022,$26.16*,$24.04,05/09/2022,8.10%,"
"
43,"
	",ROKU,Long,04/26/2022,$93.75*,$101.75,05/02/2022,8.53%,"
"
44,"
	",BABA,Long,04/20/2022,$87.85,$101.85,04/29/2022,15.94%,"
"
45,"
	",CRM,Long,04/26/2022,$170.00,$184.25,04/28/2022,8.38%,"
"
46,"
	",FB,Long,04/20/2022,$186.07*,$201.25,04/27/2022,8.16%,"
"
47,"
	",COST,Short,03/29/2022,$584.75*,$555.25,04/22/2022,5.03%,"
"
48,"
	",SDS,Long,03/20/2022,$37.05,$40.65,04/22/2022,9.72%,"
"
49,"
	",MOS,Short,04/12/2022,$75.05,$69.10,04/21/2022,7.93%,"
"
50,"
	",AA,Short,03/21/2022,$92.78*,$81.25,04/11/2022,12.43%,"
"
51,"
	",QID,Long,03/18/2022,$17.87*,$19.21,04/11/2022,7.50%,"
"
52,"
	",UVXY,Long,03/29/2022,$12.56,$14.50,04/06/2022,15.45%,"
"
